group,method,mean_radial_error,mean_phase_error,mean_role_error,mean_control_ratio,role_coverage,assignment_utility,compatible_utility,mean_current_magnitude,min_separation,collision_violations,beta,current_scale,mode,scenario,mean_role_error_mean,mean_role_error_std,min_separation_mean,min_separation_std,collision_violations_mean,collision_violations_std,unique_assignments,zero_collision_rate,agents,roles,gmraccr_ms_mean,gmraccr_ms_std,auction_ms_mean,auction_ms_std
shape_results,Ellipse-reference,0.12833202640916086,0.18766657250975818,1.4673524091653416,0.6846668994895336,1.0,4.480889423076923,0.0,0.09313867676251905,2.1058464856934,0,,,,,,,,,,,,,,,,,,
shape_results,Circular-simplification,0.0804983195052764,0.16912507635858007,1.5720175238934138,0.6922198547571337,1.0,4.480889423076923,0.0,0.09346655403930247,2.435508322496645,0,,,,,,,,,,,,,,,,,,
beta_sweep,beta=0.0,,0.12912190414973862,1.8147841407444754,0.7653500848036714,,4.405769230769231,-0.4,,0.7154020279237358,360.0,0.0,,,,,,,,,,,,,,,,,
beta_sweep,beta=0.2,,0.07956208500213328,1.7935788499936742,0.8224603759323242,,4.353365384615385,0.7,,0.9525219989216107,0.0,0.2,,,,,,,,,,,,,,,,,
beta_sweep,beta=0.4,,0.07956208500213328,1.7935788499936742,0.8224603759323242,,4.353365384615385,0.7,,0.9525219989216107,0.0,0.4,,,,,,,,,,,,,,,,,
beta_sweep,beta=0.6,,0.1578474537524451,1.5945255711717572,0.7245254140732057,,4.261778846153846,0.9,,2.976702213015552,0.0,0.6,,,,,,,,,,,,,,,,,
beta_sweep,beta=0.8,,0.1578474537524451,1.5945255711717572,0.7245254140732057,,4.261778846153846,0.9,,2.976702213015552,0.0,0.8,,,,,,,,,,,,,,,,,
beta_sweep,beta=1.0,,0.1578474537524451,1.5945255711717572,0.7245254140732057,,4.261778846153846,0.9,,2.976702213015552,0.0,1.0,,,,,,,,,,,,,,,,,
beta_sweep,beta=1.2,,0.1578474537524451,1.5945255711717572,0.7245254140732057,,4.261778846153846,0.9,,2.976702213015552,0.0,1.2,,,,,,,,,,,,,,,,,
disturbance_sweep,Current-only-scale=0.6,,0.2708667619182255,1.4845240502862307,0.6036328415523196,,,,,0.281461912724561,134.0,,0.6,Current-only,,,,,,,,,,,,,,,
disturbance_sweep,Collision-aware-scale=0.6,,0.2791390055110888,1.507052991528038,0.6099018520892089,,,,,0.37928204179060915,100.0,,0.6,Collision-aware,,,,,,,,,,,,,,,
disturbance_sweep,Current-only-scale=0.8,,0.265314111762782,1.4885079388612314,0.5975276467515293,,,,,0.2696673476291702,133.0,,0.8,Current-only,,,,,,,,,,,,,,,
disturbance_sweep,Collision-aware-scale=0.8,,0.27379847993831113,1.5101340472391283,0.6043806585421925,,,,,0.37928204179060915,100.0,,0.8,Collision-aware,,,,,,,,,,,,,,,
disturbance_sweep,Current-only-scale=1.0,,0.2596958065425178,1.492241343662397,0.5915331416879457,,,,,0.2572722546139201,132.0,,1.0,Current-only,,,,,,,,,,,,,,,
disturbance_sweep,Collision-aware-scale=1.0,,0.2683715011540709,1.5129824745099454,0.5990071229082766,,,,,0.37928204179060915,100.0,,1.0,Collision-aware,,,,,,,,,,,,,,,
disturbance_sweep,Current-only-scale=1.2,,0.2540108809440937,1.4956643785267956,0.5856709304856377,,,,,0.2446406530699191,131.0,,1.2,Current-only,,,,,,,,,,,,,,,
disturbance_sweep,Collision-aware-scale=1.2,,0.2628613126350038,1.5155515755554747,0.5938032457016794,,,,,0.37928204179060915,100.0,,1.2,Collision-aware,,,,,,,,,,,,,,,
disturbance_sweep,Current-only-scale=1.4,,0.24826038780178933,1.4987315959899616,0.5799657350829334,,,,,0.23161495985287267,130.0,,1.4,Current-only,,,,,,,,,,,,,,,
disturbance_sweep,Collision-aware-scale=1.4,,0.25726843996884935,1.5178297387538466,0.5887888166245463,,,,,0.37928204179060915,99.0,,1.4,Collision-aware,,,,,,,,,,,,,,,
disturbance_sweep,Current-only-scale=1.6,,0.24244436410203302,1.5014298035146365,0.5744445464153224,,,,,0.21822219265496412,130.0,,1.6,Current-only,,,,,,,,,,,,,,,
disturbance_sweep,Collision-aware-scale=1.6,,0.2515985244584979,1.5200150434082655,0.5839866563353816,,,,,0.37928204179060915,99.0,,1.6,Collision-aware,,,,,,,,,,,,,,,
situation_aware,Baseline situation,,0.15280974914654205,1.3543058271355937,0.6904607585764598,,2.639701715568382,0.0,,2.86017485812,0.0,,,,baseline,,,,,,,,,,,,,,
situation_aware,"Shifted situation, stale baseline assignment",,0.15280974914654205,1.3543058271355937,0.6904607585764598,,3.0974048899794107,0.0,,2.86017485812,0.0,,,,bearing_shift_stale,,,,,,,,,,,,,,
situation_aware,"Shifted situation, AHP reassignment",,0.16031259705296344,1.5537029376312332,0.7113021507694104,,3.794845338810504,0.0,,2.455681136345179,0.0,,,,bearing_shift_reassign,,,,,,,,,,,,,,
situation_aware,"Shifted situation, capability-template assignment",,0.16912507635858007,1.5720175238934138,0.6922198547571337,,3.7048040192008913,0.0,,2.435508322496645,0.0,,,,bearing_shift_template,,,,,,,,,,,,,,
rcc_perturbation,Sequential auction perturbed-RCC,,,,,,,,,,,,,,,1.5850556060212833,0.030570545476272415,1.4470568179311905,0.005271889510381351,0.0,0.0,2.0,1.0,,,,,,
rcc_perturbation,GMRA compatibility-blind,,,,,,,,,,,,,,,1.8099633605011558,0.018463100762739767,0.6983603301115607,0.06243035823281038,359.6470588235294,1.2178980512368263,1.0,0.0,,,,,,
rcc_perturbation,GMRACCR perturbed-RCC,,,,,,,,,,,,,,,1.6666433795960396,0.09624231545030094,2.200391063990988,1.0106623592271342,2.4705882352941178,9.820652390725852,2.0,0.9019607843137255,,,,,,
stochastic_scarce,Sequential auction multi-role,,,,,,,,,,,,,,,1.5841117225394963,0.02256528015905034,1.44742526089046,0.005075855691918246,0.0,0.0,,,,,,,,
stochastic_scarce,GMRA multi-role,,,,,,,,,,,,,,,1.8127860017273054,0.02098729181278214,0.6828869201440912,0.0925502955090843,358.3333333333333,2.850786580399193,,,,,,,,
stochastic_scarce,GMRACCR multi-role,,,,,,,,,,,,,,,1.5928934578371075,0.028425397627648865,2.976427329053562,0.00759314506518417,0.0,0.0,,,,,,,,
assignment_scaling,6/5,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,24.50085332049639,0.4700523085306311,0.004507498961174861,0.0017526011012641727
assignment_scaling,8/6,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,35.51937500087661,0.6428795572095006,0.0071644990384811535,0.0028480817299422483
assignment_scaling,10/8,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,72.99382499913918,0.42221209415731165,0.013058200420346111,0.006350566907860935
